bundles_count	numberOfGoals	variability	execIndex	changing_goals_0	dam_updated_0	deployment_change_planned_0	deployment_change_excuted_0	dam_updated_1	deployment_change_planned_1	deployment_change_excuted_1	dam_updated_2	deployment_change_planned_2	deployment_change_excuted_2	dam_updated_3	deployment_change_planned_3	deployment_change_excuted_3	dam_updated_4	deployment_change_planned_4	deployment_change_excuted_4	
3360	42	9	3	649	16889920	24345456	413756	1030653	7665208	10881629	1629977	4547419	9921523	1107832	3288663	13309961	1236080	3776951	10012511	
3360	42	10	3	313	11521617	10327963	340710	892953	3742952	9844843	1126407	11949745	8757221	789091	2341580	13214787	1003377	3646622	14371197	
3440	43	1	3	308	4242865	23157050	580289	20349	6829782	188325	250493	4017115	2111	7707	3306807	165990	90430	2496142	2053	
3440	43	2	3	432	28086954	27673019	383486	18811	8977338	615023	246357	4363435	141540	8320	2046338	127653	210945	2086364	1524	
3440	43	3	3	311	10385084	18086174	336486	14889	2305533	105123	265476	1632509	1333	6606	1545955	111783	203696	1881657	1827	
3440	43	4	3	360	6227812	12469037	361857	13354	3022676	162798	590410	2412350	2074	25093	2435433	377511	512225	2721054	288279	
3440	43	5	3	279	15622008	21426803	384961	765792	10086564	14821977	834924	3706256	14472263	516710	3320034	12509179	724474	3956389	13019421	
3440	43	6	3	1521	10938742	23938228	2218723	804165	6101198	10466415	779553	3320707	9517722	709540	2624409	8999392	693197	7658233	7645086	
3440	43	7	3	350	14755958	18555644	457076	1194481	5071122	12935300	1017630	2927702	9834475	901007	8942872	13370734	854986	3444890	11033704	
3440	43	8	3	331	7904107	16826349	3701187	2209923	10368450	14805886	1359313	5119168	10160468	1268069	4282225	10788276	873628	21259988	16556491	
3440	43	9	3	753	87160613	25732389	283604	1065787	4191302	12248524	1066036	3376408	11000109	1223886	3468455	16736557	938145	3310646	11041680	
3440	43	10	3	486	10561401	24091645	3115168	1098044	3296433	6972409	1325000	3701521	12958049	931142	3662467	16293338	850015	3324418	8996747	
3520	44	1	3	284	4457635	44956525	3727319	10090	18315465	290929	133536	10795200	3283	10042	13202972	310797	148184	8256170	3035	
3520	44	2	3	401	27046206	15816127	380811	10130	7115963	237993	202147	2473839	2057	9641	6240699	384156	194825	4041718	119841	
3520	44	3	3	744	21360211	16543352	321591	21581	2897881	520057	478777	6923740	219128	19839	2494540	478049	356745	8183264	253363	
3520	44	4	3	725	7877346	29287040	398944	17208	2690787	222634	628067	2140157	85742	19524	2160841	150680	529232	1990707	1732	
3520	44	5	3	223	11447666	17265814	522446	909721	5874247	14008900	849498	3984272	13272387	721206	3027905	7141727	643455	3430460	12665804	
3520	44	6	3	468	10366608	25790946	374954	1686056	17210038	17743373	1180328	3683031	13006071	906615	3651109	12540254	577978	3325161	11760441	
3520	44	7	3	294	15436761	73152828	360431	941669	12799400	21954433	1053211	12682997	16105968	802576	12008172	18630648	1213467	5815888	14682216	
3520	44	8	3	254	17346656	14376479	372932	967300	3147574	10770893	979410	4948327	12304246	1281434	4306066	13855379	1077866	3382196	15963145	
3520	44	9	3	384	14147589	18586602	367052	993087	3584184	12207592	1154866	12865133	10024180	1101869	3491348	15690743	1110383	11973081	14041989	
3520	44	10	3	304	9901758	18837939	340599	1361577	3986620	15873186	1382561	4390886	19755025	1211306	15472749	10620096	1351090	3503721	10689330	
3600	45	1	3	339	3894454	21300487	367039	9467	2655252	255581	114946	2804105	1872	6378	2577380	200221	105439	1960491	986	
3600	45	2	3	296	8327063	11202765	366477	10325	8913201	446653	241274	3226537	2130	8867	2560965	293137	229119	2635139	1666	
3600	45	3	3	434	5604458	18139151	404641	12707	2447768	195887	338951	2516165	1975	27149	5697898	580628	394375	7183393	156595	
3600	45	4	3	315	6378338	11961533	3352643	21381	8331458	184500	666312	2533785	2972	16209	2402458	298343	627698	2879281	149356	
3600	45	5	3	314	11928600	11836074	215267	665169	3179549	6804459	626199	2920266	8588737	641212	8139234	9969018	461296	2436796	9726676	
3600	45	6	3	411	15113841	16464870	431442	943175	6165207	12017306	833959	2597784	11035616	585354	3721484	16449928	824989	3295308	10667375	
3600	45	7	3	245	7303167	24588221	478834	1328376	4339587	10937620	961641	2897884	10457355	774985	3587308	13742424	1165032	5140986	13315031	
3600	45	8	3	251	17886978	23676603	2071893	1152848	4458320	13374755	1021945	5168200	14179102	1129344	4001599	14404748	1275265	4119090	13501378	
3600	45	9	3	496	17450204	62744104	240451	803677	8337504	15999862	1592645	4769997	12798583	1162023	4153242	13912143	1541905	4151667	14285946	
3600	45	10	3	457	13585051	18502305	3362607	1412816	3590197	12012859	865112	3358042	12531274	1103951	8481057	15654203	1633688	5182166	10268897	
3680	46	1	3	379	3942616	18380307	479324	12337	4482246	259369	129613	3527403	2641	9944	2471546	189869	121158	3025969	2259	
3680	46	2	3	666	5241812	10745749	354589	18274	3136334	744421	249785	3649845	400053	10292	4362608	335553	216275	2735828	107977	
3680	46	3	3	363	16498961	31503163	342562	16667	9744047	501899	841152	9580056	147391	27415	5679939	437403	555676	2900190	123726	
3680	46	4	3	391	8735680	30529871	312940	17559	5377310	437808	799555	5598994	2321	21990	2358173	365375	599996	8307809	769179	
3680	46	5	3	453	15508900	24648493	310659	685827	4369575	10824433	879439	3815629	14342503	793203	5354990	12951697	801565	3709105	15402177	
3680	46	6	3	397	12933759	24512643	519048	1143251	11846739	11036086	963583	4177629	13209996	1319978	5773180	13426484	872049	5604128	14224404	
3680	46	7	3	485	14434726	30039533	352857	972042	4695128	12853634	1114192	20223939	13543409	908834	4702292	13612222	1083772	9865222	16442163	
3680	46	8	3	243	14144179	29303478	363342	987988	10004867	17826202	1160340	3689960	21840128	965022	3661237	15790730	1088633	8206793	11407959	
3680	46	9	3	877	46068401	17607084	415569	1064241	4341664	17274754	1176652	6122675	14685783	1573144	4244798	15077388	1282986	16303438	31800072	
3680	46	10	3	354	24412505	40030541	639672	1832928	7317941	13742534	1136242	6980914	16855401	1189236	13613535	10433011	1009259	2641426	12143660	
3760	47	1	3	344	5120955	18862695	307794	10044	8687129	293493	131756	2666791	2095	7726	2439573	213813	98853	2091600	1491	
3760	47	2	3	373	12620345	27911562	416142	21662	2976296	313640	250855	2428210	86409	12418	7938421	433059	671182	2870766	135978	
3760	47	3	3	492	16579414	13696789	445878	11725	2760333	206397	541134	7167715	2393	9579	2808196	298778	396377	2517916	1594	
3760	47	4	3	501	12394852	16380068	390820	21564	4265225	211354	946626	4304781	2557	20958	2022104	104854	474770	8944658	2765	
3760	47	5	3	324	14072058	16096319	403563	856657	4568329	12201322	883101	3808750	12316938	735279	7085775	12210460	702086	3435727	13212416	
3760	47	6	3	271	9528738	13024785	386092	845602	6165784	15757217	918991	3839803	15937476	999481	9000503	12727854	1251079	3989013	12151266	
3760	47	7	3	296	11534032	15334760	339776	1102870	5882218	14573817	981058	5983725	20967629	885737	5563447	13436703	1017078	4049918	14019326	
3760	47	8	3	380	11378778	35067551	379324	1215711	4886075	15636689	1666698	3649678	12092983	1121619	3630957	13409053	1195103	3907603	15823432	
3760	47	9	3	336	11206180	14359016	355537	1692820	3977989	12143555	1147647	3610994	13914617	1112867	3880085	13421066	1149617	6702977	8212410	
3760	47	10	3	450	15815871	24461744	484950	1088093	6426486	13669369	1411239	3460301	15391952	1141756	3562369	12984698	1297245	3785487	12451686	
3840	48	1	3	350	7315177	16523072	438045	11693	3686103	411665	129014	2949461	1710	9121	3147414	294799	121540	3351632	2336	
3840	48	2	3	510	6062994	13964082	396074	12776	4077037	326720	301645	2897981	2862	9351	3063927	250705	233789	2940938	1884	
3840	48	3	3	358	5768701	34674709	447784	32479	4115572	873510	524401	2910951	404969	11552	3280382	302961	504221	3340341	2064	
3840	48	4	3	382	8785781	18744097	426532	15649	4332065	222804	645952	2854583	2016	16099	2666003	299063	611618	2369916	104838	
3840	48	5	3	265	10102485	16706158	343427	897611	4185170	15191985	806345	5551271	16511988	959674	7123018	15064791	806111	7630752	13849319	
3840	48	6	3	774	17061191	36609661	1796101	1492517	13409208	16955813	1542582	10039116	15448746	838047	9949876	13949629	1205403	6853157	13190339	
3840	48	7	3	490	13184287	26125049	427711	960533	12163020	12486286	1122544	9837419	14952295	1066734	8013393	13751680	984429	4965284	15611005	
3840	48	8	3	294	17919954	19241350	505373	1319526	4099548	14618750	1368710	4417776	16409311	1716052	8132862	14895126	1270974	4439177	13808278	
3840	48	9	3	364	14936170	54422041	388880	1112448	8400259	12164047	1025077	18223228	15121774	1527967	10333832	13528377	2642224	7302520	13942422	
3840	48	10	3	780	30662394	33870508	686417	1536044	5329036	11720006	1313341	3267352	13952404	1271633	7780680	10988735	1196225	3416566	12026336	
3920	49	1	3	399	5373474	13342184	413935	10342	3036434	189160	88413	2608241	2610	8933	2428431	167727	108310	2428572	1648	
3920	49	2	3	284	5534777	27578568	517050	21797	4733795	238693	258330	3234335	2079	28041	8252197	960946	270815	2895518	901696	
3920	49	3	3	1192	7138552	11953286	277983	29342	2785219	380467	408295	3774539	194600	17036	2670978	376993	432437	2584682	187138	
3920	49	4	3	292	23288648	14506086	464560	27324	3483506	265114	1797706	3709688	140225	28666	4346952	166679	642775	2691793	1956	
3920	49	5	3	439	8597240	10938981	268122	658887	4416981	13123361	866290	15058796	15099647	891946	4098245	13038567	796497	3597962	13874489	
3920	49	6	3	348	9996278	12627941	560961	599539	2917027	11774741	868231	3814455	11897505	805201	4033410	20223090	814133	8893127	11448382	
3920	49	7	3	349	10279889	15527324	423006	1011107	5583205	15401312	1324323	3932110	16422761	932156	3366105	15421343	942940	4924712	17519699	
