bundles_count	numberOfGoals	variability	execIndex	changing_goals_0	dam_updated_0	deployment_change_planned_0	deployment_change_excuted_0	dam_updated_1	deployment_change_planned_1	deployment_change_excuted_1	dam_updated_2	deployment_change_planned_2	deployment_change_excuted_2	dam_updated_3	deployment_change_planned_3	deployment_change_excuted_3	dam_updated_4	deployment_change_planned_4	deployment_change_excuted_4	dam_updated_5	deployment_change_planned_5	deployment_change_excuted_5	dam_updated_6	deployment_change_planned_6	deployment_change_excuted_6	dam_updated_7	deployment_change_planned_7	deployment_change_excuted_7	dam_updated_8	deployment_change_planned_8	deployment_change_excuted_8	dam_updated_9	deployment_change_planned_9	deployment_change_excuted_9	dam_updated_10	deployment_change_planned_10	deployment_change_excuted_10	
434	7	8	0	183	192523	214926	12771	2745	143436	14375	10248	124348	887	1970	140282	13226	9573	131438	880	1973	133817	13498	9315	121048	850	1827	169110	10740	6600	119501	963	2549	187563	13139	8348	131461	899	
434	7	9	0	177	215497	280954	14071	2935	145734	7784	8731	89266	640	1624	158386	13615	7984	133783	841	2104	146125	13351	10834	128173	963	2088	138358	8273	7078	80340	561	1316	92990	7739	6662	80270	592	
434	7	10	0	73	134711	161396	6917	1620	93063	6437	4652	164291	1070	2379	131472	12277	7243	107491	695	1524	194472	14012	10617	128658	827	1866	88025	7004	6126	77540	497	1082	79164	7676	3817	68959	492	
496	8	1	0	70	153988	266003	14106	2806	141991	8506	5151	87607	589	1395	91371	17265	5009	153337	914	2348	101741	8623	6021	85167	565	1190	91013	8773	7187	78716	474	1129	95424	7859	4664	111153	582	
496	8	2	0	81	153949	188015	8448	2144	139100	19749	9734	133885	877	2219	129025	8175	6741	90382	619	1557	107806	46656	10995	141779	928	1943	135411	13980	6527	129574	722	1715	115394	14073	10112	92612	643	
496	8	3	0	68	136806	218725	13031	2073	138238	14023	9077	104293	577	1155	89226	7900	17066	147872	1267	2345	166609	37249	6932	136192	1001	2072	172590	17632	10563	159829	963	2026	104921	8963	6767	82081	611	
496	8	4	0	76	176012	188840	8003	1607	97751	7393	4847	77546	483	1026	106597	11506	7058	71785	381	1070	87377	7448	4857	110266	550	1094	98710	8120	7186	71303	380	993	118404	7439	3676	69561	441	
496	8	5	0	73	141154	177661	7542	1459	99922	7571	6420	78669	448	1087	80594	8589	4354	71271	420	1212	80879	7404	6696	68029	351	1066	129752	8742	6474	70269	414	1012	78998	7632	3603	67807	452	
496	8	6	0	54	134956	190843	8207	1513	90171	8432	6017	76086	412	1063	80563	29419	7019	165191	889	2407	135363	9740	6505	93397	582	1291	99710	8663	4797	78303	496	1206	83966	8479	6228	73706	503	
496	8	7	0	75	147326	302090	13852	3200	157407	15432	7950	166219	838	1594	130900	9765	11290	194485	1248	2553	153986	13484	5659	125974	786	1707	157341	12563	8100	103755	509	1362	93330	7922	6540	140435	1211	
496	8	8	0	96	148163	188600	7895	1601	171921	30553	12668	132234	1541	2405	115833	13518	5762	143890	1128	2248	141886	9552	7956	116901	704	1534	119427	14818	28312	98208	20136	5240	153706	20525	8119	84135	592	
496	8	9	0	81	156842	224708	19668	1867	93798	7609	6024	79157	396	1051	83150	7145	5166	81971	334	964	96287	8126	5384	91704	409	1082	87476	8595	4110	96266	405	1173	125008	10059	9192	95345	528	
496	8	10	0	69	137067	193633	20696	1880	112956	7700	5498	98848	404	1010	102001	7773	5915	92106	354	920	101716	7934	5867	89688	376	919	100413	7318	4186	88601	333	898	97588	7896	5437	88322	387	
558	9	1	0	62	152842	222776	9070	1571	110576	8459	6647	93982	364	1085	153587	9175	5812	91093	476	1567	96621	8536	5739	81817	372	1021	89995	8621	5822	79553	390	1039	90798	8533	6381	89103	441	
558	9	2	0	69	142897	222015	9078	1488	161456	8560	7116	90916	486	1341	105984	9953	6874	87459	419	1248	91620	9684	6886	83872	380	1120	107792	10285	7826	82010	394	999	90421	10591	4933	82147	430	
558	9	3	0	80	161045	220393	9575	1547	105200	10282	4676	88786	458	1005	141994	9964	7456	96750	523	1500	99650	9037	12977	142381	551	1639	169181	11188	9264	169159	1089	2610	159065	9206	7245	131229	608	
558	9	4	0	73	188755	235567	8994	2368	148585	9304	7408	105522	396	1137	109613	8538	7007	102380	350	1279	136073	9270	5123	113636	358	1098	168125	14607	6778	147447	602	1383	154719	14307	7162	111625	467	
558	9	5	0	64	239031	307785	9286	1936	145104	10986	7994	106483	516	1426	96874	9690	5870	89407	440	1362	105445	12049	9509	94403	469	1438	99503	9051	8384	82631	352	1059	92039	8434	6512	83053	396	
558	9	6	0	104	188620	231175	9112	1663	114011	15604	12607	153474	749	2097	137735	10267	8453	100406	449	1456	88895	8377	6034	78987	421	1096	84315	8526	7522	78285	361	916	93557	9129	6555	85839	404	
558	9	7	0	69	168062	205451	8614	1482	99979	8243	7165	82796	345	1122	98128	8064	6543	89195	403	1151	134199	10302	8325	98728	562	1509	105870	8107	6368	159852	1182	2897	203295	14154	13539	147697	780	
558	9	8	0	101	173534	217877	8769	1801	111140	10092	7831	141957	840	2068	102649	10093	5454	86989	413	1112	114063	9744	6194	94145	467	1167	116505	10075	7623	117573	649	1746	162294	18606	9127	180199	1061	
