size	variability	time
403	2	29.806482
434	2	35.131544
465	2	40.248308
496	2	44.486178
527	2	51.48113
558	2	58.429082
589	2	65.511336
620	2	73.016887
651	2	92.983452
682	2	88.327392
713	2	96.559942
744	2	108.678769
775	2	114.971637
806	2	128.399262
837	2	138.522213
868	2	150.752052
899	2	179.083595
930	2	175.206544
961	2	191.688272
992	2	200.177755
1023	2	220.059479
1054	2	232.515547
1085	2	258.125159
1116	2	263.979578
1147	2	302.421941
1178	2	291.058957
1209	2	318.782997
1240	2	326.541833
1271	2	341.658855
1302	2	371.146921
1333	2	373.795005
1364	2	392.321635
1395	2	447.61977
1426	2	428.60804
1457	2	440.311324
1488	2	461.203
1519	2	476.772494
1550	2	499.633592
1581	2	523.458699
1612	2	555.39422
1643	2	577.648167
1674	2	604.389427
1705	2	634.503202
1736	2	656.246596
1767	2	708.539119
1798	2	711.995534
1829	2	742.169481
1860	2	791.993072
1891	2	802.072327
1922	2	873.671404
1953	2	875.984667
1984	2	883.729438
2015	2	912.938172
2046	2	970.380405
2077	2	990.729041
2108	2	1020.474216
2139	2	1044.685079
2170	2	1062.172419
2201	2	1107.249685
2232	2	1144.297728
2263	2	1173.166639
2294	2	1206.684476
2325	2	1249.56997
2356	2	1283.824922
2387	2	1312.983848
2418	2	1345.849697
2449	2	1378.196045
2480	2	1442.768195
2511	2	1449.28858
2542	2	1471.210454
2573	2	1523.391328
2604	2	1564.104827
2635	2	1606.314834
2666	2	1651.56636
2697	2	1661.520027
2728	2	1714.220101
2759	2	1740.061371
