bundles_count	numberOfGoals	variability	execIndex	changing_goals_0	dam_updated_0	deployment_change_planned_0	deployment_change_excuted_0	dam_updated_1	deployment_change_planned_1	deployment_change_excuted_1	dam_updated_2	deployment_change_planned_2	deployment_change_excuted_2	dam_updated_3	deployment_change_planned_3	deployment_change_excuted_3	dam_updated_4	deployment_change_planned_4	deployment_change_excuted_4	dam_updated_5	deployment_change_planned_5	deployment_change_excuted_5	dam_updated_6	deployment_change_planned_6	deployment_change_excuted_6	dam_updated_7	deployment_change_planned_7	deployment_change_excuted_7	dam_updated_8	deployment_change_planned_8	deployment_change_excuted_8	dam_updated_9	deployment_change_planned_9	deployment_change_excuted_9	dam_updated_10	deployment_change_planned_10	deployment_change_excuted_10	
2914	47	2	5	87	1373766	1367038	58503	4872	595709	69772	85440	497607	564	3521	500263	124508	84437	567098	73650	3486	513574	61165	71111	484003	478	2379	587052	140103	97006	511340	37852	3952	494328	90640	74800	487386	37123	
2976	48	2	5	91	1347042	1266637	44654	6194	555456	69880	92399	576870	1001	5995	726791	78241	156739	664806	958	4218	597720	99089	117849	701509	42710	8009	567846	142156	99249	537817	75916	4290	535992	67729	93994	537939	642	
3038	49	2	5	91	1280010	1296543	43801	4241	550743	67419	91901	473085	464	9703	655307	515234	167132	569252	440478	3202	495113	70159	88293	504990	570	4214	516943	179957	81276	480993	134407	1719	501276	58430	61923	533128	772	
3100	50	2	5	86	1128377	1242843	55716	5298	671039	62957	87403	820307	741	5565	877802	136156	97836	748087	90112	5054	717071	159178	115966	774397	76607	4357	753331	76614	149100	777896	677	6399	800286	162732	120191	824450	98915	
3162	51	2	5	86	1553368	1794503	52125	6745	810626	108164	112968	743346	41608	3281	746280	80627	106207	670469	522	2864	647929	104803	107669	643181	40062	3243	676883	67182	97838	700869	985	5262	694377	117401	96760	678483	40999	
3224	52	2	5	89	1760084	1746823	69798	5396	934069	73972	93244	759935	1089	3759	700861	77163	119850	674675	504	2037	736934	84462	107730	712201	619	4536	689534	75766	122805	777042	807	4144	677252	117098	95822	652649	41456	
3286	53	2	5	82	1295720	1492006	51721	4695	798247	82672	113461	696312	635	5028	785428	146041	123226	751428	87282	4330	728926	79374	121080	724779	583	2365	713490	173676	158525	723653	864	2980	680308	78625	97991	683426	735	
3348	54	2	5	88	1467787	1614187	50765	8876	819526	159641	90349	713917	84712	3185	718029	75732	96036	692078	557	2028	737840	84206	104703	752446	887	4794	813100	116719	111140	723917	45454	2978	724148	87028	103031	714488	694	
3410	55	2	5	102	1379877	1539658	50303	4398	844787	119464	130794	716595	45923	2547	721407	109914	126151	721315	892	3163	684713	71364	78457	668331	672	3644	654495	89224	115491	779136	1439	5800	779701	119393	116521	1048313	51798	
3472	56	2	5	94	1589254	1861787	58468	4782	849166	77562	134524	1135176	1082	9435	858037	176588	98759	822895	123165	3610	756513	67901	91965	728039	551	1730	935549	72929	113171	870552	882	2715	798750	86404	119001	749102	793	
3534	57	2	5	83	1561491	1517709	47405	8556	751373	201593	89651	694038	175335	2925	939383	137077	132740	775645	48535	5792	791458	81050	119717	734382	749	5733	732544	238759	125039	782068	308509	10920	806403	262578	118661	1115155	313199	
3596	58	2	5	153	1869594	1899396	53785	13696	893522	410815	105212	784665	350806	4166	1062803	116719	152756	1212327	1583	6795	1490810	177784	167651	1398321	1416	5015	1319715	218661	174550	1254300	1324	5836	1113935	182112	160135	1132767	77735	
3658	59	2	5	131	2153325	2243823	88698	8473	1236474	185481	158305	1117156	51214	7702	942599	169609	128210	838369	99132	3547	924839	143106	137854	1071418	1624	9024	1693614	346502	201092	899152	96433	6473	879223	139164	116596	782909	50511	
3720	60	2	5	91	1619959	1678770	55995	6377	884082	124070	125476	779192	50507	3235	772259	85979	122960	770343	721	3244	747249	80809	110940	744649	691	4432	749856	128858	128574	940947	50219	4360	751878	80550	113403	863548	866	
3782	61	2	5	90	1522998	1736048	54951	4981	839420	84166	105645	709868	488	1854	704101	71670	96633	872005	899	3950	853378	113343	172519	1207006	1224	7592	1108214	170732	128288	829045	47144	4501	719347	127284	135263	755689	50460	
3844	62	2	5	83	1820993	2107052	60824	7927	979895	188919	160378	1154366	134451	6801	923454	87361	107376	1071184	1008	5393	1235489	105130	144611	902199	989	12386	816372	378563	132776	892958	378249	19391	859455	469180	128697	869975	454830	
3906	63	2	5	95	1907156	1807124	58239	4665	856138	88104	123178	751175	559	3711	858855	174122	151307	818914	102605	2701	802455	98754	129448	884563	847	6136	772542	193988	119543	755704	96865	2162	750302	89403	113213	786795	812	
3968	64	2	5	84	1681645	2050717	67104	7259	1029618	154636	189538	849378	55160	2666	811371	95644	124437	791546	519	2108	792449	90933	134128	810417	721	7055	798667	266357	115594	918360	275872	11194	834383	170962	113734	768027	98577	
4030	65	2	5	85	1599537	1891065	59025	6877	1061559	103897	144622	927544	1082	6456	876924	149657	116789	831306	49218	3055	732076	85750	113398	742498	763	6649	892560	276511	130610	1131856	219128	4743	818429	87149	106603	873905	1085	
4092	66	2	5	97	1767885	1694785	54883	5957	879843	133424	118054	799303	56130	3207	832182	100790	153132	901090	1063	6697	989135	191905	132692	903383	144635	6215	1091206	118484	183849	997342	1359	5266	1030033	205489	184850	1028284	66307	
4154	67	2	5	87	2320510	2427293	71925	7779	1237350	115088	145935	964353	701	3137	883876	104268	156180	1141727	1034	9590	1160031	344556	162816	883769	244260	5748	834329	96880	136235	946177	718	2867	862386	83107	114970	873645	862	
4216	68	2	5	81	1723440	1764382	58176	6702	904500	133087	108343	770217	48553	3101	854355	99569	141347	1121292	1365	7707	1309854	200577	155576	1013749	63644	4489	966248	123003	132472	905902	820	5576	918316	173064	142543	991601	60285	
4278	69	2	5	102	2342666	1837752	66973	6126	869670	130384	138169	750356	50944	2425	748305	147864	103757	772734	53198	7028	808190	259368	163240	1010326	170119	4693	932999	100105	144696	855287	844	10374	881325	367094	122822	1119431	393866	
4340	70	2	5	392	2174336	2174086	70152	8078	991262	99900	157391	932070	1129	3295	957739	96168	169987	891008	1043	7165	977735	240857	159489	887529	199053	6533	922822	104048	153353	885277	947	3058	1033617	115645	166277	943307	902	
4402	71	2	5	95	2002290	2236936	66463	5474	972356	98166	129819	823884	583	2463	859903	103079	123421	825924	539	3250	823648	147261	110339	826718	56111	2016	987631	126213	189278	1073209	1479	7714	918617	198236	143482	874674	114426	
4464	72	2	5	95	1800073	1953172	69641	6853	996049	152976	135742	986401	59878	3792	867088	105422	128132	898894	1010	4207	874620	138237	132205	823081	56504	3259	839282	117684	182107	1069951	1004	7536	1057639	199848	157592	943055	107517	
4526	73	2	5	85	1918842	2022884	62171	8174	944008	193669	127367	835903	112905	4128	821766	96200	105908	822581	651	3407	788629	97121	141625	821569	826	3710	819750	202341	139546	843259	111801	1830	819377	98927	128190	1038284	1293	
4588	74	2	5	83	2291270	2577025	70623	5975	1116767	114552	152194	981154	1006	3830	1014950	110098	177229	1020486	833	5321	1008708	155417	144526	870311	57951	2328	910953	102355	158907	904504	1014	4002	892788	112720	143755	1031932	895	
4650	75	2	5	99	1979218	2572377	78739	5903	1179414	117126	171074	960585	638	2553	971173	108769	196191	907435	608	3270	906730	116743	180095	1043859	887	4956	878857	169732	142356	898737	62987	5504	874293	197296	130263	906125	116376	
4712	76	2	5	98	1894477	2241131	70217	4574	1177929	111776	161210	917733	822	4475	975217	203233	137328	882699	117683	3969	886079	215649	139148	864617	118476	1971	946345	112954	147269	877230	620	3530	1002705	113483	157254	924658	893	
4774	77	2	5	91	1967891	2410158	77544	5209	1153967	117759	183506	1009226	839	7335	1052131	127311	162098	932370	683	3111	889888	127447	124977	903125	550	4268	922552	222581	159455	996184	171409	4786	928196	112758	134854	1132880	1242	
4836	78	2	5	114	1953296	2164763	70763	4997	1005778	134169	117666	841256	640	1963	936620	108588	226783	1027514	1021	5043	1043316	183164	178447	1058723	65671	3511	1051477	121559	177362	1388533	1044	6180	1100601	160018	228374	1022024	1134	
4898	79	2	5	84	2288384	2406447	73487	8775	1289508	164667	168216	1016365	66347	4127	981359	171835	190728	988255	65380	3585	914033	109574	127296	889875	594	2222	890751	116479	134565	1088478	883	3566	971901	110014	193044	1037194	854	
4960	80	2	5	101	1973498	2192475	74373	5959	1130481	115255	167409	973066	920	3121	943450	116752	194305	1027217	1088	4025	1075461	127952	149082	918259	666	5002	910985	249109	199095	1044450	126955	5460	913041	168178	158069	990408	131663	
5022	81	2	5	84	2041245	2413710	84661	7215	1117941	257047	178751	1065462	69415	5823	1097313	163801	175500	964057	61288	3737	850274	154692	142372	977766	73488	4681	1095617	168913	269001	1027098	62271	4615	888380	178995	191691	971023	72193	
5084	82	2	5	86	1920925	2022442	71152	4687	1064902	121884	176888	989717	820	5642	1102691	187425	171032	1256083	73684	6048	1060008	169536	155841	954659	92900	2852	1038382	825889	365976	3066569	3387	19665	2426404	188535	185026	1258521	71880	
